
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Material.VATime                             214.53     (Insuf)    37.995     350.62        130    
Material.NVATime                            80.881     (Insuf)    25.268     195.23        130    
Material.WaitTime                           830.89     (Insuf)    44.318     1490.7        130    
Material.TranTime                           .00000     (Insuf)    .00000     .00000        130    
Material.OtherTime                          .45769     (Insuf)    .00000     .50000        130    
Material.TotalTime                          1126.7     (Insuf)    265.28     1836.2        130    
Process_Inspection.Queue.WaitingTime        44.357     (Insuf)    .00000     106.61        144    
InnerHole_Drilling.Queue.WaitingTime        24.657     (Insuf)    .00000     886.68        129    
Finishing2.Queue.WaitingTime                32.715     (Insuf)    .00000     116.90        144    
Finishing1.Queue.WaitingTime                49.963     (Insuf)    .00000     131.65        144    
Load.Queue.WaitingTime                      29.053     (Insuf)    .00000     97.695        129    
Packaging.Queue.WaitingTime                 59.279     (Insuf)    .00000     950.00        110    
Machining_Input.Queue.WaitingTime           66.831     (Insuf)    .00000     135.00        142    
HousingCover_Assemble.Queue.WaitingTime     156.49     (Insuf)    .00000     973.53        131    
Grinding.Queue.WaitingTime                  25.761     (Insuf)    .00000     116.53        143    
Tapping.Queue.WaitingTime                   96.000     (Insuf)    .00000     921.14        127    
Final_Inspection.Queue.WaitingTime          231.27     (Insuf)    .00000     930.04        124    
Controller_Assemble.Queue.WaitingTime       44.288     (Insuf)    .00000     900.00        131    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Material.WIP                                15.424     (Insuf)    .00000     33.000     10.000    
Input_Machine2.NumberBusy                   .10417     (Insuf)    .00000     1.0000     .00000    
Input_Machine2.NumberScheduled              .33333     (Insuf)    .00000     1.0000     .00000    
Input_Machine2.Utilization                  .10417     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.NumberBusy                   .10714     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.NumberScheduled              .33333     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.Utilization                  .10714     (Insuf)    .00000     1.0000     .00000    
Loader1.NumberBusy                          .17303     (Insuf)    .00000     1.0000     .00000    
Loader1.NumberScheduled                     .33333     (Insuf)    .00000     1.0000     .00000    
Loader1.Utilization                         .17303     (Insuf)    .00000     1.0000     .00000    
Loader2.NumberBusy                          .14873     (Insuf)    .00000     1.0000     .00000    
Loader2.NumberScheduled                     .33333     (Insuf)    .00000     1.0000     .00000    
Loader2.Utilization                         .14873     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.NumberBusy                    .15278     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.NumberScheduled               .33333     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.Utilization                   .15278     (Insuf)    .00000     1.0000     .00000    
